HNI,IPO Success,Issue Size,Offer Price,QIB,RII,Total
1.58,1,2000,1100,7.7,0.69,2.88
1.6,0,2249.96,100,1.14,0,1.35
1.63,0,600.65,205,1.33,5.69,1.81
1.66,1,491.66,103,3.04,1.68,2.24
1.66,1,779.58,815,5.64,19.51,7.07
1.68,0,112.06,135,1.02,2.76,1.85
1.7,0,124.97,106,7.07,3.4,4.93
1.71,0,211.04,120,0.29,2.18,0.7
1.71,0,350.43,645,13.96,6.96,7.83
1.76,1,60,60,1,0.64,1.12
1.82,0,36.9,85,0,2.93,1.3
1.84,0,120.65,210,0.98,1.64,1.34
1.84,0,254.26,158,1.3,2.22,1.87
1.89,1,2143.74,825,5.26,2.9,3.86
1.9,1,2486.35,104,4.15,0.25,2.2
1.91,0,200,120,1.29,0.68,1.15
1.91,0,1174.82,87,2.76,2.82,2.61
1.92,0,759.6,90,5.42,6.4,4.48
1.93,1,2106.4,30,3.52,4.16,3.2
1.94,0,217.41,117,0.85,1.48,1.24
1.94,1,55.1,82,0,5.06,2.06
2,1,170,90,1.12,1.21,1.28
2.02,1,70,45,1.01,2.08,1.21
2.03,0,300,228,1.31,1.6,1.5
2.07,1,828.88,429,15.6,6.1,7.9
2.09,0,70,65,0.97,1.54,1.34
2.09,1,200,137,2.02,5.68,2.24
2.19,1,176.09,150,4.68,0.55,2.54
2.23,1,450,432,0.86,1.31,1.11
2.29,1,8695,290,16.6,0.94,4.9
2.32,0,800,542,1.42,1.38,1.59
2.35,0,104.63,155,0.51,1.6,1.17
2.35,1,880,197,1.35,7.61,2.78
2.4,0,6145.56,76,5.31,3.92,4.27
2.45,1,1954.96,967,9.16,0.95,3.59
2.47,1,1201,222,12.35,0.88,4.4
2.59,1,35.87,108,0,19.42,11.01
2.65,0,117,234,0.14,1.84,1.11
2.65,1,102.6,180,3.35,0.4,1.97
2.67,0,4633.38,26,3.78,3.66,3.49
2.68,1,130.05,153,1.91,6.92,3.57
2.76,1,60,138,0.31,4.68,2.21
2.82,1,63,100,0,3.36,1.6
2.84,0,823.7,1490,5.21,3.43,3.81
2.85,0,484.8,170,1.48,0.99,1.53
2.94,0,807.84,510,1.62,6.48,2.86
2.97,1,480,585,1.74,0.96,1.62
3,0,126.51,135,0.78,0.66,1.07
3.03,1,635,541,3.84,0.53,2.01
3.03,1,1204.29,880,8.88,2.21,5.84
3.08,1,750.54,215,1.15,2.12,1.83
3.09,0,4750,300,2.15,0,2.57
3.1,0,452.87,500,5.11,13.13,5.98
3.1,1,179.5,230,1.49,2.05,1.98
3.12,0,776.25,400,0.68,0.33,0.96
3.14,0,499.6,222,1.42,5.59,2.65
3.16,1,190.45,248,0.52,1.04,1.1
3.22,1,23.25,63,0.65,14.22,5.78
3.28,0,45.83,35,0.33,9.31,3.92
3.29,0,475,247,4.51,2.2,3.09
3.35,1,510,730,14.51,0.44,5.09
3.39,1,270,166,8.98,1,5.43
3.39,1,1062.51,26,9.03,3.12,6.64
3.44,0,24.75,30,0,1.36,0.99
3.44,0,77.4,180,1.55,2.01,2.54
3.46,1,2073.25,1180,7.5,8.7,6.62
3.57,1,3008.5,765,17.8,0.92,6.15
3.58,1,1330.51,428,10.54,1.67,4.57
3.61,1,1028.61,260,22.15,0.94,12.13
3.62,1,613.08,250,24.43,1.89,8.7
3.65,1,178.2,165,1.12,0.62,1.22
3.67,0,1164.73,140,4.19,6.56,4.92
3.8,1,4326.36,1080,49.16,0.92,15.32
3.83,0,105,135,1.71,2.63,2.35
3.92,1,165,110,1.02,4.82,2.78
4.02,0,1701.44,324,11.5,1.35,7.61
4.02,1,2205.57,336,28.64,0.88,9.58
4.05,0,523.07,468,6.64,2.49,4
4.13,1,18000,11,17.56,0.92,6.36
4.21,1,60,29,0.34,1.9,1.47
4.24,0,1578,99,0.58,0,2.23
4.25,0,1500,468,4.47,0.37,2.95
4.29,1,666,240,1.43,0.28,1.36
4.39,0,2768.26,712,10.36,3.24,5.24
4.47,0,69.98,77,0.17,2.28,1.55
4.68,1,60,70,0.35,9.01,4.03
4.68,1,4193.73,465,19.3,2.31,12.22
4.7,1,82.5,150,0.24,6.18,2.99
4.82,0,600,118,1.85,12.72,4.6
4.92,0,466.94,475,12.29,10.07,9.9
4.92,1,3042.62,549,30.93,1.37,10.26
4.97,0,462,270,8.37,3.08,4.98
5.05,0,5430,463,3.79,0.94,2.63
5.07,0,150,220,0.26,3,1.94
5.07,1,7734.99,100,4.63,0,4.83
5.08,0,63.75,75,0.03,2.74,1.74
5.08,0,1125.13,716,13.47,0.67,5.27
5.11,0,203,58,0.75,0.32,1.25
5.18,0,270.2,215,1.06,1.66,2.25
5.27,0,79.38,98,0.82,9.9,4.67
5.36,1,160.77,120,17.67,40.1,22.68
5.45,0,34.78,50,0,1.76,1.43
5.52,1,424.62,245,15.62,5.18,8.25
5.55,1,38.96,45,0.43,0.46,1.2
5.85,0,498.13,150,23.43,2.99,13.36
5.85,1,959.35,290,23.43,2.99,13.36
5.89,1,5032.88,102,10.81,0,8.57
6.13,0,371.02,260,1.38,1.39,1.96
6.18,0,1245,52,1.93,9.61,5.34
6.39,1,55.88,69,1.04,5.74,3.48
6.39,1,512.48,332,14.49,1.42,6.19
6.46,0,1268.88,629,14.41,1.92,6.44
6.59,1,165.42,326,12.02,11.12,8.69
6.91,1,1844,572,16.08,1.48,6.8
6.93,1,2499.99,100,8.92,0,8.01
6.96,1,937.09,1480,54.27,6.01,20
7.1,1,880.85,300,80.63,4.77,26.67
7.13,1,840.13,220,87.56,2.84,15.59
7.21,1,3477,610,10.41,1.6,6.03
7.27,0,48.75,75,0.16,5.6,2.97
7.31,0,73.6,64,0.15,3.01,2.22
7.69,0,23,66,1.24,2.64,3.25
7.81,0,750,10,0.26,0.61,1.52
7.82,1,152.25,175,1.91,8.53,6.14
7.82,1,5709.72,980,24.89,3.31,16.59
8,1,99,80,6.01,2.17,4.8
8.27,0,700,237,14.35,12.9,12.41
8.64,1,120,170,5.69,7.79,7.39
8.85,0,563.38,164,16.73,5.94,12.57
8.86,1,537.02,369,0.74,6.11,5.22
9.03,1,264.1,95,1.24,10.81,7.55
9.27,0,100,100,13.43,24.74,16.86
9.49,1,81.9,117,0.25,8.66,4.58
9.5,0,650,401,17.5,4.01,9.02
9.99,1,12500,740,55.47,1.41,16.69
10.39,0,211.68,210,8.38,6.47,8.58
10.52,1,107.9,130,7.97,2.81,6.32
10.52,1,4275,570,48.57,2.83,29.88
10.68,1,1399.6,292,152.04,4.73,28.55
10.76,0,1236.38,710,19.91,7.39,11.69
10.91,1,68.75,110,1.27,6.62,4.53
11.02,1,525.14,186,17.3,2.44,8.52
11.15,1,649.7,664,12.36,3.28,7.56
11.29,0,49,49,0.16,6.83,4.16
11.74,1,3800,275,4.78,0,7.94
11.75,1,4300,650,2.2,0.9,3.6
12.46,1,53.1,118,0.01,7.41,4.47
13.2,0,960,291,17.47,7.61,11.52
13.23,1,1964.01,1035,52.26,2.13,18.69
13.54,1,730,385,12.71,6.82,11.88
13.59,1,840.27,346,13.72,2.24,7.95
13.85,1,1600,643,9.08,5.87,9.8
13.89,1,4473.02,375,38.67,1.2,14.63
13.91,1,225,324,25.52,3.46,15.94
14.2,1,500.33,701,17.32,5.56,10.67
14.25,1,8000,78,80.75,2.31,27.28
14.42,1,1252.66,401,31.5,3.77,13.78
14.85,1,1171.58,418,40.14,3.19,16.25
14.9,1,1462.31,407,48.91,9.96,32.23
15.21,1,852.53,400,64.23,2.14,22.19
15.73,0,401.54,460,24.4,24.27,22.47
15.78,1,475.59,973,14.92,3.03,12.95
15.99,1,2800,119,57.09,10.32,37.37
16.6,1,56.25,75,0.99,6.25,5.17
16.99,1,1550.52,741,67.67,3.78,24.87
