Sum of HNI,IPO Name,IPO Success,Sum of Issue Size,Year,Quarter,Month,Day,Sum of Offer Price,Sum of QIB,Sum of RII,Sum of Total,Sum of Year
25.05,Jana Small Finance Bank Limited,0,570,2024,Qtr 1,February,14,414,38.75,5.46,18.5,2024
1.15,Jaypee Infratech Limited,0,2257.6,2010,Qtr 2,May,21,102,1.77,0.61,1.24,2010
0.15,JSW Energy Limited,0,2700,2010,Qtr 1,January,4,100,2.88,0.4,1.68,2010
15.99,JSW Infrastructure Limited,1,2800,2023,Qtr 4,October,3,119,57.09,10.32,37.37,2023
51.95,Jubilant Foodworks Limited,0,328.72,2010,Qtr 1,February,8,145,59.39,3.79,31.11,2010
0.06,Juniper Hotels Ltd,0,1800,2024,Qtr 1,February,28,360,0,0.52,0.11,2024
34.75,Jupiter Life Line Limited,1,869.08,2023,Qtr 3,September,18,735,187.32,7.73,63.72,2023
0.34,Jupiter Wagons Ltd,0,172.41,2010,Qtr 4,October,18,127,3.68,0.38,2.07,2010
22.34,Just Dial Ltd,0,919.14,2013,Qtr 2,June,5,530,10.12,3.53,11.63,2013
36.48,Jyoti CNC Automation Limited,0,1000,2024,Qtr 1,January,16,331,44.13,26.17,38.53,2024
1.31,Kalpataru Limited,0,1590,2025,Qtr 3,July,1,414,3.12,1.29,2.26,2025
1.91,Kalyan Jewellers India Limited,0,1174.82,2021,Qtr 1,March,26,87,2.76,2.82,2.61,2021
21.21,Kaynes Technology India Limited,1,857.82,2022,Qtr 4,November,22,587,98.47,4.1,34.16,2022
3.03,Keystone Realtors Limited,0,635,2022,Qtr 4,November,24,541,3.84,0.53,2.01,2022
0.23,KFin Technologies Limited,0,1500,2022,Qtr 4,December,29,366,4.17,1.36,2.59,2022
0.18,Khadim India Ltd,0,543.06,2017,Qtr 4,November,14,750,2.44,2.33,1.9,2017
1.37,Kridhan Infra Ltd,0,34.75,2011,Qtr 3,July,13,108,0.03,4.18,1.68,2011
1.89,Krishna Institute of Medical Sciences Limited,1,2143.74,2021,Qtr 2,June,28,825,5.26,2.9,3.86,2021
431.63,KRN Heat Exchanger and Refrigeration Limited,1,341.95,2024,Qtr 4,October,3,220,253.04,98.29,214.42,2024
22.24,Kross Limited,0,500,2024,Qtr 3,September,16,240,23.32,10.76,16.81,2024
116.3,Krsnaa Diagnostics Limited,0,1213.34,2021,Qtr 3,August,16,954,49.83,42.04,64.4,2021
43.91,Krystal Integrated Services Ltd,0,300.12,2024,Qtr 1,March,21,715,7.33,3.32,13.21,2024
6.18,L&T Finance Holdings Ltd,0,1245,2011,Qtr 3,August,12,52,1.93,9.61,5.34,2011
1.03,L&T Technology Services Ltd,0,894.4,2016,Qtr 3,September,23,860,5.01,1.75,2.53,2016
1.32,Landmark Cars Limited,0,552,2022,Qtr 4,December,23,506,8.71,0.59,3.06,2022
850.66,Latent View Analytics,1,600,2021,Qtr 4,November,23,197,145.48,119.44,326.49,2021
3.58,Laurus Labs Ltd,0,1330.51,2016,Qtr 4,December,19,428,10.54,1.67,4.57,2016
147.95,Laxmi Dental Limited,1,698.06,2025,Qtr 1,January,20,428,110.38,76.24,114.42,2025
1.84,Laxmi India Finance Ltd,0,254.26,2025,Qtr 3,August,5,158,1.3,2.22,1.87,2025
217.62,Laxmi Organic Industries Limited,1,600,2021,Qtr 1,March,25,130,175.43,20.06,106.79,2021
0.12,Lemon Tree Hotels Ltd,0,1038.68,2018,Qtr 2,April,9,56,3.89,0.12,1.19,2018
1.39,Life Insurance Corporation of India (LIC),0,20557.2,2022,Qtr 2,May,17,949,2.83,1.14,1.64,2022
1.54,Likhitha Infrastructure Ltd,0,61.2,2020,Qtr 4,October,15,120,21.99,23.71,9.51,2020
99.87,Lovable Lingerie Ltd,1,93.28,2011,Qtr 1,March,24,205,21.87,20.84,35.21,2011
10.76,LTIMindtree Ltd,0,1236.38,2016,Qtr 3,July,21,710,19.91,7.39,11.69,2016
38.24,M & B Engineering Ltd,0,650,2025,Qtr 3,August,6,385,36.72,32.55,36.2,2025
1.44,Macrotech Developers Limited (Lodha Group),0,2500,2021,Qtr 2,April,19,486,3.05,0.4,1.36,2021
1.42,Madhyam Agrivet Industries Ltd,0,362.57,2015,Qtr 3,September,21,115,0.88,0.34,0.77,2015
191.61,Mahanagar Gas Ltd,1,1038.88,2016,Qtr 3,July,1,421,72.84,6.82,64.54,2016
2.07,Mahindra Logistics Ltd,0,828.88,2017,Qtr 4,November,10,429,15.6,6.1,7.9,2017
274.38,Mamata Machinery Limited,1,179.35,2024,Qtr 4,December,27,243,235.88,138.08,194.95,2024
104.57,Man Infraconstruction Limited,1,141.75,2010,Qtr 1,March,11,252,96.06,10.26,62.53,2010
511.62,Manba Finance Limited,1,150.84,2024,Qtr 3,September,30,120,148.55,143.95,224.05,2024
3.8,Mankind Pharma Limited,1,4326.36,2023,Qtr 2,May,9,1080,49.16,0.92,15.32,2023
5.18,Manoj Vaibhav Gems,0,270.2,2023,Qtr 4,October,3,215,1.06,1.66,2.25,2023
0.38,Manpasand Beverages Ltd,0,400,2015,Qtr 3,July,9,320,1.98,1.16,1.4,2015
378.53,MAS Financial Services Ltd,1,460.04,2017,Qtr 4,October,18,459,148.33,15.97,128.39,2017
0.41,Matrimony.com Ltd,0,496.88,2017,Qtr 3,September,21,985,1.88,18.16,4.44,2017
678.88,Mazagon Dock Shipbuilders Ltd,1,443.69,2020,Qtr 4,October,12,145,89.71,35.63,157.41,2020
2.65,MBL Infrastructure Limited,0,102.6,2010,Qtr 1,January,11,180,3.35,0.4,1.97,2010
14.85,Medi Assist Healthcare Services Limited,0,1171.58,2024,Qtr 1,January,23,418,40.14,3.19,16.25,2024
85.33,MedPlus Health Services Limited,1,1398.3,2021,Qtr 4,December,23,796,111.9,5.24,52.59,2021
1.51,MEP Infrastructure Developers Ltd,0,324,2015,Qtr 2,May,6,63,1.02,0.97,1.11,2015
3.03,Metropolis Healthcare Ltd,0,1204.29,2019,Qtr 2,April,15,880,8.88,2.21,5.84,2019
48.41,Midfield Industries Limited,0,59.85,2010,Qtr 3,August,4,133,1.86,13.51,12.92,2010
4.68,Midvalley Entertainment & Hospitality Ltd,0,60,2011,Qtr 1,January,27,70,0.35,9.01,4.03,2011
0,Mindspace Business Parks REIT,0,4500,2020,Qtr 3,August,7,275,0,0,0,2020
0.13,Mishra Dhatu Nigam Ltd (MIDHANI),0,435.02,2018,Qtr 2,April,4,90,1.96,0.72,1.21,2018
143.3,MOIL Ltd,1,1237.51,2010,Qtr 4,December,15,375,49.16,32.86,56.43,2010
1.71,Monte Carlo Fashions Ltd,0,350.43,2014,Qtr 4,December,19,645,13.96,6.96,7.83,2014
233.91,Motisons Jewellers Limited,1,151.09,2023,Qtr 4,December,26,55,157.4,122.28,159.61,2023
620.86,Mrs Bectors Food Specialities Ltd,1,540.54,2020,Qtr 4,December,24,288,176.85,29.33,198.02,2020
1.71,MSTC Ltd,0,211.04,2019,Qtr 1,March,29,120,0.29,2.18,0.7,2019
8,MT Educare Ltd,0,99,2012,Qtr 2,April,12,80,6.01,2.17,4.8,2012
650.79,MTAR Technologies Limited,1,596.41,2021,Qtr 1,March,15,575,164.99,28.4,200.79,2021
250.38,Mukka Proteins Ltd,1,224,2024,Qtr 1,March,7,28,189.28,58.52,136.99,2024
150.35,Multi Commodity Exchange of India Ltd,1,663.31,2012,Qtr 1,March,9,1032,49.12,24.14,54.13,2012
109.13,Music Broadcast Ltd,1,488.53,2017,Qtr 1,March,17,333,39.78,9.85,39.67,2017
60.94,Muthoot Finance Ltd,0,901.25,2011,Qtr 2,May,6,175,25.01,8.5,24.55,2011
13.2,Muthoot Microfin Limited,0,960,2023,Qtr 4,December,26,291,17.47,7.61,11.52,2023
3.62,Narayana Hrudayalaya Ltd,0,613.08,2016,Qtr 1,January,6,250,24.43,1.89,8.7,2016
34.98,National Securities Depository Ltd (NSDL),0,4011.6,2025,Qtr 3,August,6,800,103.97,7.73,41.01,2025
0.9,Navkar Corporation Ltd,0,600,2015,Qtr 3,September,9,155,6.47,1.62,2.85,2015
389.89,Nazara Technologies Limited,1,582.69,2021,Qtr 1,March,30,1101,103.77,75.29,175.46,2021
1.7,NBCC (India) Ltd,0,124.97,2012,Qtr 2,April,12,106,7.07,3.4,4.93,2012
113.88,Neogen Chemicals Ltd,0,132.35,2019,Qtr 2,May,8,215,30.49,16.06,41.18,2019
81.81,Netweb Technologies India Limited,1,631,2023,Qtr 3,July,27,500,228.91,19.15,90.36,2023
0.12,New India Assurance Company Ltd,0,9466.98,2017,Qtr 4,November,13,800,2.34,0.11,1.19,2017
5.52,Newgen Software Technologies Ltd,0,424.62,2018,Qtr 1,January,29,245,15.62,5.18,8.25,2018
0,Nexus Select Trust,0,3200,2023,Qtr 2,May,19,100,0,0,3.61,2023
209.44,Nippon Life India Asset Management Ltd,0,1542.24,2017,Qtr 4,November,6,252,118.4,5.65,81.54,2017
0.68,Niva Bupa Health Insurance Company Limited,0,2200,2024,Qtr 4,November,14,74,2.06,2.73,1.8,2024
0.22,NMDC Limited,0,9967.3,2010,Qtr 1,March,29,300,2.28,0.22,1.25,2010
142.41,Northern ARC Capital Limited,1,777,2024,Qtr 3,September,24,263,240.79,31.08,110.91,2024
224.08,Nova Agritech Limited,1,143.81,2024,Qtr 1,January,31,41,79.31,77.12,109.37,2024
0.81,NTPC Green Energy Limited,0,10000,2024,Qtr 4,November,27,108,3.32,3.44,2.42,2024
0.43,NTPC Limited,0,8478.75,2010,Qtr 1,February,19,201,2.18,0.16,1.2,2010
31.59,Nureca Limited,1,100,2021,Qtr 1,February,25,400,3.1,166.65,39.93,2021
0.66,Nuvoco Vistas Corporation Limited,0,5000,2021,Qtr 3,August,23,570,4.23,0.73,1.71,2021
3.61,Oberoi Realty Ltd,0,1028.61,2010,Qtr 4,October,20,260,22.15,0.94,12.13,2010
2.4,Ola Electric Mobility Limited,0,6145.56,2024,Qtr 3,August,9,76,5.31,3.92,4.27,2024
3.44,Olympic Cards Ltd,0,24.75,2012,Qtr 1,March,28,30,0,1.36,0.99,2012
5.27,Omkar Speciality Chemicals Ltd,0,79.38,2011,Qtr 1,February,10,98,0.82,9.9,4.67,2011
108.95,One Mobikwik Systems Limited,1,572,2024,Qtr 4,December,18,279,119.5,134.67,119.38,2024
0.24,One97 Communications,0,18300,2021,Qtr 4,November,18,2150,2.79,1.66,1.89,2021
0.93,Onelife Capital Advisors Ltd,0,36.85,2011,Qtr 4,October,17,110,1.02,2.5,1.53,2011
0.64,Orient Green Power Company Ltd,0,900,2010,Qtr 4,October,8,47,2.09,0.18,1.07,2010
300.6,Orient Technologies Limited,1,214.76,2024,Qtr 3,August,28,206,189.9,66.87,151.71,2024
0.09,Ortel Communications Ltd,0,174.71,2015,Qtr 1,March,19,181,1.01,0.39,0.75,2015
36.7,Oswal Pumps Limited,0,1387.34,2025,Qtr 2,June,20,614,88.08,3.6,34.42,2025
56.08,P N Gadgil Jewellers Limited,1,1100,2024,Qtr 3,September,17,480,136.85,16.58,59.4,2024
1.2,Parabolic Drugs Limited,0,200,2010,Qtr 3,July,1,75,1.48,0.4,1.04,2010
0.32,Paradeep Phosphates Limited,0,1501.73,2022,Qtr 2,May,27,42,3.01,0.8,0.83,2022
3.08,Parag Milk Foods Ltd,0,750.54,2016,Qtr 2,May,19,215,1.15,2.12,1.83,2016
3.28,Paramount Printpac Ltd,0,45.83,2011,Qtr 2,May,9,35,0.33,9.31,3.92,2011
927.7,Paras Defence and Space Technologies Limited,1,170.78,2021,Qtr 4,October,1,175,169.65,112.81,304.26,2021
11.75,Patanjali Foods Limited (formerly Ruchi Soya Industries Limited),1,4300,2022,Qtr 2,April,8,650,2.2,0.9,3.6,2022
7.82,PB Fintech,0,5709.72,2021,Qtr 4,November,15,980,24.89,3.31,16.59,2021
18.12,PC Jeweller Ltd,0,601.31,2012,Qtr 4,December,27,135,7.33,1.68,6.85,2012
1.44,Pennar Engineered Building Systems Ltd,0,156.19,2015,Qtr 3,September,10,178,2.2,0.41,1.15,2015
107.73,Persistent Systems Limited,1,168.01,2010,Qtr 2,April,6,310,144.43,21.69,93.6,2010
1.84,PG Electroplast Ltd,0,120.65,2011,Qtr 3,September,26,210,0.98,1.64,1.34,2011
141.83,Platinum Industries Ltd,1,235.32,2024,Qtr 1,March,5,171,151,50.99,99.03,2024
388.09,Plaza Wires Limited,1,71.28,2023,Qtr 4,October,12,54,42.84,374.81,160.97,2023
86.17,PNB Housing Finance Ltd,0,3000,2016,Qtr 4,November,7,775,37.33,1.35,29.55,2016
0.65,PNC Infratech Ltd,0,488.44,2015,Qtr 2,May,26,378,4.51,0.28,1.56,2015
110.42,Polycab India Ltd,0,1345.26,2019,Qtr 2,April,16,538,92.44,4.65,51.96,2019
0.66,Popular Vehicles & Services Ltd,0,601.55,2024,Qtr 1,March,19,295,1.97,1.05,1.23,2024
1.2,Power Finance Corporation Ltd,0,4578.2,2011,Qtr 2,May,27,203,6.92,2,4.34,2011
40.34,Power Grid Corporation of India Ltd,0,7442.34,2010,Qtr 4,November,25,90,115.9,6.77,64.82,2010
40.34,Power Grid Corporation of India Ltd,0,6958.64,2013,Qtr 4,December,19,90,115.9,6.77,64.82,2013
133.22,Power Mech Projects Ltd,0,273.22,2015,Qtr 3,August,26,640,27.53,3.42,38.12,2015
5.07,Powergrid Infrastructure Investment Trust,0,7734.99,2021,Qtr 2,May,14,100,4.63,0,4.83,2021
45.35,Pradip Overseas Limited,0,116.6,2010,Qtr 2,April,5,110,8.57,10.53,14.08,2010
10.91,Prakash Steelage Limited,0,68.75,2010,Qtr 3,August,25,110,1.27,6.62,4.53,2010
101.15,Prataap Snacks Ltd,1,481.56,2017,Qtr 4,October,5,938,76.89,8.48,47.39,2017
0.73,Precision Camshafts Ltd,0,410.19,2016,Qtr 1,February,8,186,2.62,2.01,1.91,2016
50.04,Premier Energies Limited,1,2830.4,2024,Qtr 3,September,3,450,216.67,7.69,74.38,2024
0.24,Prestige Estates Projects Ltd,0,1200,2010,Qtr 4,October,27,183,4.32,0.08,2.26,2010
1.21,Prince Pipes and Fittings Ltd,0,500,2019,Qtr 4,December,30,178,3.54,1.89,2.21,2019
222.14,Prostarm Info Systems Limited,0,168,2025,Qtr 2,June,3,105,104.49,39.49,97.2,2025
31.62,Protean eGov Technologies Limited,0,489.95,2023,Qtr 4,November,13,792,46.94,8.93,23.86,2023
0.74,Prudent Corporate Advisory Services Limited,0,537.94,2022,Qtr 2,May,20,630,1.26,0.61,0.81,2022
10.39,PSP Projects Ltd,0,211.68,2017,Qtr 2,May,29,210,8.38,6.47,8.58,2017
0.22,PTC India Financial Services Ltd,0,433.28,2011,Qtr 1,March,30,28,2.85,1.18,1.7,2011
85.84,Punjab & Sind Bank,1,480,2010,Qtr 4,December,30,120,49.8,44.45,50.75,2010
32.24,Pyramid Technoplast Limited,0,153.05,2023,Qtr 3,August,29,166,9.94,14.72,18.29,2023
254.71,Quadrant Future Tek Limited,1,290,2025,Qtr 1,January,14,290,132.54,246.94,186.66,2025
1.45,Quality Power Electronics Limited,0,858.7,2025,Qtr 1,February,24,425,1.03,1.83,1.29,2025
392.21,Quess Corp Ltd,1,400,2016,Qtr 3,July,12,317,59.03,34.08,144.5,2016
36.69,Quick Heal Technologies Ltd,0,451.25,2016,Qtr 1,February,18,321,4.34,3.82,10.8,2016
34.36,R K Swamy Ltd,0,423.56,2024,Qtr 1,March,12,288,20.58,34.03,25.94,2024
13.23,R R Kabel Limited,0,1964.01,2023,Qtr 3,September,20,1035,52.26,2.13,18.69,2023
0.66,Radiant Cash Management Services Limited,0,256.64,2023,Qtr 1,January,4,94,1.01,0.21,0.53,2023
0.8,Rail Vikas Nigam Ltd,0,477.11,2019,Qtr 2,April,11,19,1.36,2.93,1.83,2019
73.25,Railtel Corporation of India Limited,0,819.24,2021,Qtr 1,February,26,94,65.14,16.78,42.39,2021
1.37,Rainbow Children’s Medicare Limited,0,1580.85,2022,Qtr 2,May,10,542,38.9,0.7,5.25,2022
1.45,Ramky Infrastructure Ltd,0,530,2010,Qtr 4,October,8,450,4.52,0.99,2.89,2010
62.75,Rashi Peripherals Limited,0,600,2024,Qtr 1,February,14,311,143.66,10.44,59.71,2024
42.04,Rategain Travel Technologies Limited,0,1335.74,2021,Qtr 4,December,17,425,8.42,8.08,17.41,2021
135.21,Ratnaveer Precision Limited,1,165.03,2023,Qtr 3,September,11,98,133.05,54.01,93.99,2023
7.31,Ravikumar Distilleries Ltd,0,73.6,2010,Qtr 4,December,27,64,0.15,3.01,2.22,2010
198.06,RBL Bank Ltd,1,1212.97,2016,Qtr 3,August,31,225,85.08,5.7,69.62,2016
9.27,RBZ Jewellers Limited,0,100,2023,Qtr 4,December,27,100,13.43,24.74,16.86,2023
0.75,RDB Rasayans Ltd,0,35.55,2011,Qtr 4,October,7,79,0,3.96,1.5,2011
27.12,REC Limited,0,3529.94,2010,Qtr 1,March,8,203,39.3,7.68,27.91,2010
0.35,Repco Home Finance Ltd,0,270.23,2013,Qtr 2,April,1,172,3.39,0.51,1.65,2013
354.11,Restaurant Brands Asia Ltd,1,810,2020,Qtr 4,December,14,60,86.64,68.15,156.65,2020
31.29,Rishabh Instruments Limited,0,490.78,2023,Qtr 3,September,11,441,72.54,8.44,31.65,2023
194.56,Rites Ltd,0,460.51,2018,Qtr 3,July,2,185,71.72,15.74,67.24,2018
360.11,Rolex Rings Limited,1,731.1,2021,Qtr 3,August,9,900,143.58,24.49,130.44,2021
239.83,Rossari Biotech Ltd,1,496.25,2020,Qtr 3,July,23,425,85.26,7.23,79.37,2020
192.81,Route Mobile Ltd,1,600,2020,Qtr 3,September,21,350,89.76,12.67,73.3,2020
7.27,RPP Infra Projects Ltd,0,48.75,2010,Qtr 4,December,6,75,0.16,5.6,2.97,2010
1.35,Rushil Decor Ltd,0,40.64,2011,Qtr 3,July,7,72,0.23,6.57,2.62,2011
204.65,S Chand & Company Ltd,0,728.6,2017,Qtr 2,May,9,670,44.27,6.07,59.49,2017
1.14,S H Kelkar & Company Ltd,1,508.17,2015,Qtr 4,November,16,180,4.68,0.47,1.84,2015
0.45,S P Apparels Ltd,0,239.12,2016,Qtr 3,August,12,268,1,0.54,0.66,2016
2.32,S.J.S Enterprises Limited,0,800,2021,Qtr 4,November,15,542,1.42,1.38,1.59,2021
1.66,Sadbhav Infrastructure Project Ltd,0,491.66,2015,Qtr 3,September,16,103,3.04,1.68,2.24,2015
1.93,Sagility India Limited,0,2106.4,2024,Qtr 4,November,12,30,3.52,4.16,3.2,2024
32.69,Sah Polymers Limited,1,66.3,2023,Qtr 1,January,12,65,2.4,39.78,17.46,2023
4.92,Sai Life Sciences Limited,1,3042.62,2024,Qtr 4,December,18,549,30.93,1.37,10.26,2024
2.47,Sai Silks (Kalamandir) Limited,0,1201,2023,Qtr 3,September,27,222,12.35,0.88,4.4,2023
2.59,Salasar Techno Engineering Ltd,1,35.87,2017,Qtr 3,July,25,108,0,19.42,11.01,2017
31.82,Sambhv Steel Tubes Limited,1,540,2025,Qtr 3,July,2,82,62.32,7.99,28.46,2025
1.22,Samhi Hotels Limited,0,1370.1,2023,Qtr 3,September,22,126,8.82,1.11,5.33,2023
42.21,Sanathan Textiles Limited,1,550,2024,Qtr 4,December,27,321,75.62,8.93,35.12,2024
6.39,Sandhar Technologies Ltd,0,512.48,2018,Qtr 2,April,2,332,14.49,1.42,6.19,2018
0.07,Sansera Engineering Limited,0,1282.52,2021,Qtr 3,September,24,744,0.29,0.87,0.53,2021
136.5,Sanstar Limited,0,510.55,2024,Qtr 3,July,26,95,145.68,24.23,82.99,2024
3.46,Sapphire Foods India,0,2073.25,2021,Qtr 4,November,18,1180,7.5,8.7,6.62,2021
358.65,Saraswati Saree Depot Limited,1,160.01,2024,Qtr 3,August,20,160,64.12,61.88,107.52,2024
35.88,Sastasundar Ventures Ltd,0,147.5,2010,Qtr 4,October,5,118,5.91,11.04,12.2,2010
0.22,Satchmo Holdings Limited,0,405,2010,Qtr 2,May,13,54,2.54,0.16,1.16,2010
49.09,SBFC Finance Limited,1,1025,2023,Qtr 3,August,16,57,192.9,10.99,70.16,2023
45.23,SBI Cards & Payment Services Ltd,0,10340.8,2020,Qtr 1,March,16,755,57.18,2.5,26.54,2020
0.7,SBI Life Insurance Company Ltd,0,8386.4,2017,Qtr 4,October,3,700,12.56,0.85,3.58,2017
1.02,Schloss Bangalore Limited,0,3500,2025,Qtr 2,June,2,435,7.46,0.83,4.5,2025
113.03,Scoda Tubes Limited,0,220,2025,Qtr 2,June,4,140,69.51,19.4,53.78,2025
40.94,Sea TV Network Ltd,0,50.2,2010,Qtr 4,October,14,100,1.66,7.45,9.58,2010
64.99,Senco Gold Limited,1,405,2023,Qtr 3,July,14,317,180.94,15.46,73.35,2023
96.11,Senores Pharmaceuticals Limited,1,582.11,2024,Qtr 4,December,30,391,94.66,89.23,93.41,2024
4.21,Servalakshmi Paper Ltd,0,60,2011,Qtr 2,May,12,29,0.34,1.9,1.47,2011
2.76,Setubandhan Infrastructure Ltd,0,60,2011,Qtr 4,October,4,138,0.31,4.68,2.21,2011
33.44,Shah Metacorp Ltd,0,54.67,2010,Qtr 4,October,27,71,1.54,8,8.59,2010
0.42,Shalby Ltd,0,504.8,2017,Qtr 4,December,15,248,4.34,2.98,2.82,2017
90.68,Shankara Building Products Ltd,0,345,2017,Qtr 2,April,5,460,51.62,15.35,41.88,2017
151.48,Shanti Gold International Ltd,0,360.11,2025,Qtr 3,August,1,199,117.33,30.37,81.17,2025
251.35,Sharda Cropchem Ltd,1,351.86,2014,Qtr 3,September,23,156,32.06,5.85,59.97,2014
3.35,Sheela Foam Ltd,0,510,2016,Qtr 4,December,9,730,14.51,0.44,5.09,2016
8.64,Shemaroo Entertainment Ltd,0,120,2014,Qtr 4,October,1,170,5.69,7.79,7.39,2014
6.39,Shilpi Cable Technologies Ltd,0,55.88,2011,Qtr 2,April,8,69,1.04,5.74,3.48,2011
3.67,Shipping Corporation of India Ltd,0,1164.73,2010,Qtr 4,December,15,140,4.19,6.56,4.92,2010
6.13,Shree Ganesh Jewellery House (I) Limited,0,371.02,2010,Qtr 2,April,9,260,1.38,1.39,1.96,2010
2.09,Shree Pushkar Chemicals Ltd,0,70,2015,Qtr 3,September,10,65,0.97,1.54,1.34,2015
210.12,Shree Tirupati Balajee Agro Trading Company Limited,0,169.65,2024,Qtr 3,September,12,83,150.87,73.22,124.75,2024
12.46,Shri Aster Silicates Limited,0,53.1,2010,Qtr 3,July,28,118,0.01,7.41,4.47,2010
4.82,Shriram Properties Limited,0,600,2021,Qtr 4,December,20,118,1.85,12.72,4.6,2021
339.98,Shyam Metalics and Energy Limited,0,908.55,2021,Qtr 2,June,24,306,155.71,11.58,121.4,2021
172.43,Sigachi Industries Limited,1,125.43,2021,Qtr 4,November,15,163,86.51,80.49,101.91,2021
13.54,Signature Global India Limited,0,730,2023,Qtr 3,September,27,385,12.71,6.82,11.88,2023
1.66,SIS Ltd,0,779.58,2017,Qtr 3,August,10,815,5.64,19.51,7.07,2017
3.39,SJVN Limited,0,1062.51,2010,Qtr 2,May,20,26,9.03,3.12,6.64,2010
22.78,Smartworks Coworking Limited,0,582.56,2025,Qtr 3,July,17,407,24.41,3.53,13.45,2025
221.79,Snowman Logistics Ltd,1,197.4,2014,Qtr 3,September,12,47,16.98,41.26,59.75,2014
0.39,Sona BLW Precision Forgings Limited,0,5550,2021,Qtr 2,June,24,291,3.46,1.57,2.28,2021
0.55,Spandana Sphoorty Financial Ltd,0,1189.85,2019,Qtr 3,August,19,856,3.11,0.09,1.05,2019
2.19,Speciality Restaurants Ltd,0,176.09,2012,Qtr 2,May,30,150,4.68,0.55,2.54,2012
57.71,Sri Lotus Developers & Realty Ltd,0,792,2025,Qtr 3,August,6,150,163.9,20.28,69.14,2025
214.94,SRM Contractors Ltd,0,130.2,2024,Qtr 2,April,3,210,59.59,46.97,86.57,2024
5.11,SRS Ltd,0,203,2011,Qtr 3,September,16,58,0.75,0.32,1.25,2011
422.42,Stallion India Fluorochem Limited,1,199.45,2025,Qtr 1,January,23,90,172.93,96.89,188.37,2025
1.9,Standard Chartered (India) Limited,0,2486.35,2010,Qtr 2,June,11,104,4.15,0.25,2.2,2010
268.5,Standard Glass Lining Technology Limited,1,410.05,2025,Qtr 1,January,13,140,331.6,64.99,183.18,2025
8.86,Stanley Lifestyles Limited,1,537.02,2024,Qtr 2,June,28,369,0.74,6.11,5.22,2024
0.19,Star Health and Allied Insurance Company Limited,0,6400.44,2021,Qtr 4,December,10,900,1.03,1.1,0.79,2021
0.89,Sterling and Wilson Solar Ltd,0,2849.64,2019,Qtr 3,August,20,780,1.02,0.3,0.85,2019
32.72,Stove Kraft Limited,1,412.63,2021,Qtr 1,February,5,385,8.02,26.04,18.03,2021
4.47,Sudar Industries Ltd,0,69.98,2011,Qtr 1,March,11,77,0.17,2.28,1.55,2011
1.51,Sula Vineyards Limited,0,960.35,2022,Qtr 4,December,22,357,4.13,1.65,2.33,2022
161.22,Supriya Lifescience Limited,1,700,2021,Qtr 4,December,28,274,31.83,56.01,71.51,2021
18.9,Suraj Estate Developers Limited,0,400,2023,Qtr 4,December,26,360,24.31,9.3,15.65,2023
1.41,Suraksha Diagnostic Limited,0,846.25,2024,Qtr 4,December,6,441,1.74,0.95,1.27,2024
1.31,Suryoday Small Finance Bank Limited,0,580.84,2021,Qtr 1,March,26,305,2.18,3.09,2.37,2021
0.41,Swiggy Limited,0,11327.4,2024,Qtr 4,November,13,390,6.02,1.14,3.59,2024
16.6,Syncom Healthcare Limited,0,56.25,2010,Qtr 1,February,15,75,0.99,6.25,5.17,2010
90.24,Syngene International Ltd,0,550,2015,Qtr 3,August,11,250,51.47,4.78,32.05,2015
7.13,Syrma SGS Technologies,0,840.13,2022,Qtr 3,August,26,220,87.56,2.84,15.59,2022
4.7,Taksheel Solutions Ltd,0,82.5,2011,Qtr 4,October,19,150,0.24,6.18,2.99,2011
51.48,Talwalkars Better Value Fitness Limited,0,77.44,2010,Qtr 2,May,10,128,35.43,8.43,28.39,2010
2.94,Tamilnad Mercantile,0,807.84,2022,Qtr 3,September,15,510,1.62,6.48,2.86,2022
3.1,Tara Jewels Ltd,0,179.5,2012,Qtr 4,December,6,230,1.49,2.05,1.98,2012
5.08,Tarapur Transformers Limited,0,63.75,2010,Qtr 2,May,18,75,0.03,2.74,1.74,2010
184.58,Tarsons Products,0,1023.47,2021,Qtr 4,November,26,662,115.77,10.56,77.49,2021
7.21,Tata Steel Ltd,0,3477,2011,Qtr 1,February,2,610,10.41,1.6,6.03,2011
62.11,Tata Technologies Limited,1,3042.51,2023,Qtr 4,November,30,500,203.41,16.5,69.43,2023
512.22,Tatva Chintan Pharma Chem Limited,1,500,2021,Qtr 3,July,29,1083,185.23,35.35,180.36,2021
5.08,TCNS Clothing Co. Ltd,0,1125.13,2018,Qtr 3,July,30,716,13.47,0.67,5.27,2018
0.38,TD Power Systems Ltd,0,227,2011,Qtr 3,September,8,256,6.52,0.38,2.92,2011
185.24,Team Lease Services Ltd,0,423.68,2016,Qtr 1,February,12,850,26.97,10.62,66.02,2016
48.85,Technofab Engineers Limited,0,71.66,2010,Qtr 3,July,16,240,4.28,10.03,12.78,2010
62.48,Tecpro Systems Ltd,0,267.91,2010,Qtr 4,October,12,355,27.99,9.07,24.47,2010
666.19,Tega Industries Limited,1,619.23,2021,Qtr 4,December,13,453,215.45,29.44,219.04,2021
0.48,Tejas Networks Ltd,0,776.69,2017,Qtr 2,June,27,257,2.16,3.1,1.88,2017
30.5,Texmo Pipes and Products Limited,0,45,2010,Qtr 1,March,10,90,1.02,7.26,7.48,2010
