Sum of HNI,IPO Name,IPO Success,Sum of Issue Size,Year,Quarter,Month,Day,Sum of Offer Price,Sum of QIB,Sum of RII,Sum of Total,Sum of Year
1.63,Bharat Road Network Ltd,0,600.65,2017,Qtr 3,September,18,205,1.33,5.69,1.81,2017
2.02,Bharat Wire Ropes Ltd,0,70,2016,Qtr 2,April,1,45,1.01,2.08,1.21,2016
1.94,Bharatiya Global Infomedia Ltd,0,55.1,2011,Qtr 3,July,28,82,0,5.06,2.06,2011
10.52,Bharti Hexacom Ltd,1,4275,2024,Qtr 2,April,12,570,48.57,2.83,29.88,2024
7.1,Bikaji Foods International Limited,0,880.85,2022,Qtr 4,November,16,300,80.63,4.77,26.67,2022
0.17,Birla Pacific Medspa Ltd,0,65.18,2011,Qtr 3,July,7,10,1.04,1.82,1.18,2011
5.45,Birla Shloka Edutech Limited,0,34.78,2010,Qtr 1,January,29,50,0,1.76,1.43,2010
300.14,BLS E-Services Limited,1,309.29,2024,Qtr 1,February,6,135,123.3,237,162.47,2024
13.59,Blue Jet Healthcare Limited,0,840.27,2023,Qtr 4,November,1,346,13.72,2.24,7.95,2023
237.42,Borana Weaves Limited,0,144.89,2025,Qtr 2,May,27,216,87.21,200.53,148.78,2025
4.68,Brainbees Solutions Limited,1,4193.73,2024,Qtr 3,August,13,465,19.3,2.31,12.22,2024
1.92,Brigade Hotel Ventures Limited,0,759.6,2025,Qtr 3,July,31,90,5.42,6.4,4.48,2025
11.74,Brookfield India Real Estate Trust,0,3800,2021,Qtr 1,February,16,275,4.78,0,7.94,2021
2.82,Brooks Laboratories Ltd,0,63,2011,Qtr 3,September,5,100,0,3.36,1.6,2011
3.16,BS Ltd,0,190.45,2010,Qtr 4,October,27,248,0.52,1.04,1.1,2010
159.03,BSE Ltd (Bombay Stock Exchange),1,1243.43,2017,Qtr 1,February,3,806,48.64,6.48,51.22,2017
3.92,C Mahendra Exports Ltd,0,165,2011,Qtr 1,January,20,110,1.02,4.82,2.78,2011
424.69,C.E. Info Systems Limited (MapmyIndia),1,1039.61,2021,Qtr 4,December,21,1033,196.36,15.2,154.71,2021
10.68,Campus Activewear (India) Limited,1,1399.6,2022,Qtr 2,May,9,292,152.04,4.73,28.55,2022
3.83,Cantabil Retail India Ltd,0,105,2010,Qtr 4,October,12,135,1.71,2.63,2.35,2010
638.05,Capacit'e Infraprojects Ltd,1,400,2017,Qtr 3,September,25,250,131.32,17.57,183.03,2017
